=== Spjall WebSocket Server ===
Listening on ws://0.0.0.0:8081
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[<] ws_69504ec9341fc: {"type":"ping","payload":{}}
[>] ws_69504ec9341fc: {"type":"pong","payload":[]}
[+] New connection: ws_695075a50900b
[*] Handshake complete: ws_695075a50900b
[<] ws_695075a50900b: {"type":"auth","payload":{"token":"3831ee936c213e71416e4f4f8a856fde857b5f7f9609652b6197b882951034d0"}}
[>] ws_695075a50900b: {"type":"auth_ok","payload":{"user":{"id":1,"nickname":"Valdegg"},"conversations...
[<] ws_695075a50900b: {"type":"load_history","payload":{"conversation_id":1,"before":1766678506,"limit":50}}
[>] ws_695075a50900b: {"type":"history","payload":{"conversation_id":1,"messages":[],"has_more":false,...
[-] Disconnected: ws_69504ec9341fc
[<] ws_695075a50900b: {"type":"ping","payload":{}}
[>] ws_695075a50900b: {"type":"pong","payload":[]}
[<] ws_695075a50900b: {"type":"ping","payload":{}}
[>] ws_695075a50900b: {"type":"pong","payload":[]}
[<] ws_695075a50900b: {"type":"ping","payload":{}}
[>] ws_695075a50900b: {"type":"pong","payload":[]}
[<] ws_695075a50900b: {"type":"ping","payload":{}}
[>] ws_695075a50900b: {"type":"pong","payload":[]}
[<] ws_695075a50900b: {"type":"ping","payload":{}}
[>] ws_695075a50900b: {"type":"pong","payload":[]}
[<] ws_695075a50900b: {"type":"ping","payload":{}}
[>] ws_695075a50900b: {"type":"pong","payload":[]}
[+] New connection: ws_6950769fb5f4d
[*] Handshake complete: ws_6950769fb5f4d
[<] ws_6950769fb5f4d: {"type":"auth","payload":{"token":"3831ee936c213e71416e4f4f8a856fde857b5f7f9609652b6197b882951034d0"}}
[>] ws_6950769fb5f4d: {"type":"auth_ok","payload":{"user":{"id":1,"nickname":"Valdegg"},"conversations...
[<] ws_6950769fb5f4d: {"type":"load_history","payload":{"conversation_id":1,"before":1766880928,"limit":50}}
[>] ws_6950769fb5f4d: {"type":"history","payload":{"conversation_id":1,"messages":[{"id":1,"conversati...
[-] Disconnected: ws_6950769fb5f4d
[<] ws_695075a50900b: {"type":"ping","payload":{}}
[>] ws_695075a50900b: {"type":"pong","payload":[]}
[<] ws_695075a50900b: {"type":"ping","payload":{}}
[>] ws_695075a50900b: {"type":"pong","payload":[]}
[<] ws_695075a50900b: {"type":"ping","payload":{}}
[>] ws_695075a50900b: {"type":"pong","payload":[]}
[<] ws_695075a50900b: {"type":"ping","payload":{}}
[>] ws_695075a50900b: {"type":"pong","payload":[]}
[<] ws_695075a50900b: {"type":"ping","payload":{}}
[>] ws_695075a50900b: {"type":"pong","payload":[]}
[<] ws_695075a50900b: {"type":"ping","payload":{}}
[>] ws_695075a50900b: {"type":"pong","payload":[]}
[<] ws_695075a50900b: {"type":"ping","payload":{}}
[>] ws_695075a50900b: {"type":"pong","payload":[]}
[<] ws_695075a50900b: {"type":"ping","payload":{}}
[>] ws_695075a50900b: {"type":"pong","payload":[]}
[<] ws_695075a50900b: {"type":"ping","payload":{}}
[>] ws_695075a50900b: {"type":"pong","payload":[]}
[-] Disconnected: ws_695075a50900b
[>] ws_695075a50900b: {"type":"user_offline","payload":{"user_id":1}}
[+] New connection: ws_6950ab65c334a
[*] Handshake complete: ws_6950ab65c334a
[<] ws_6950ab65c334a: {"type":"auth","payload":{"token":"3831ee936c213e71416e4f4f8a856fde857b5f7f9609652b6197b882951034d0"}}
[>] ws_6950ab65c334a: {"type":"auth_ok","payload":{"user":{"id":1,"nickname":"Valdegg"},"conversations...
[<] ws_6950ab65c334a: {"type":"load_history","payload":{"conversation_id":1,"before":1766678506,"limit":50}}
[>] ws_6950ab65c334a: {"type":"history","payload":{"conversation_id":1,"messages":[],"has_more":false,...
[-] Disconnected: ws_6950ab65c334a
[>] ws_6950ab65c334a: {"type":"user_offline","payload":{"user_id":1}}
[+] New connection: ws_6950c2f060fc3
[*] Handshake complete: ws_6950c2f060fc3
[<] ws_6950c2f060fc3: {"type":"auth","payload":{"token":"3831ee936c213e71416e4f4f8a856fde857b5f7f9609652b6197b882951034d0"}}
[>] ws_6950c2f060fc3: {"type":"auth_ok","payload":{"user":{"id":1,"nickname":"Valdegg"},"conversations...
[<] ws_6950c2f060fc3: {"type":"load_history","payload":{"conversation_id":1,"before":1766678506,"limit":50}}
[>] ws_6950c2f060fc3: {"type":"history","payload":{"conversation_id":1,"messages":[],"has_more":false,...
[-] Disconnected: ws_6950c2f060fc3
[>] ws_6950c2f060fc3: {"type":"user_offline","payload":{"user_id":1}}
[+] New connection: ws_6950f0b6965b4
[*] Handshake complete: ws_6950f0b6965b4
[<] ws_6950f0b6965b4: {"type":"auth","payload":{"token":"3831ee936c213e71416e4f4f8a856fde857b5f7f9609652b6197b882951034d0"}}
[>] ws_6950f0b6965b4: {"type":"auth_ok","payload":{"user":{"id":1,"nickname":"Valdegg"},"conversations...
[<] ws_6950f0b6965b4: {"type":"load_history","payload":{"conversation_id":1,"before":1766678506,"limit":50}}
[>] ws_6950f0b6965b4: {"type":"history","payload":{"conversation_id":1,"messages":[],"has_more":false,...
[-] Disconnected: ws_6950f0b6965b4
[>] ws_6950f0b6965b4: {"type":"user_offline","payload":{"user_id":1}}
[+] New connection: ws_6951095264af9
[*] Handshake complete: ws_6951095264af9
[<] ws_6951095264af9: {"type":"auth","payload":{"token":"3831ee936c213e71416e4f4f8a856fde857b5f7f9609652b6197b882951034d0"}}
[>] ws_6951095264af9: {"type":"auth_ok","payload":{"user":{"id":1,"nickname":"Valdegg"},"conversations...
[<] ws_6951095264af9: {"type":"load_history","payload":{"conversation_id":1,"before":1766678506,"limit":50}}
[>] ws_6951095264af9: {"type":"history","payload":{"conversation_id":1,"messages":[],"has_more":false,...
[-] Disconnected: ws_6951095264af9
[>] ws_6951095264af9: {"type":"user_offline","payload":{"user_id":1}}
[+] New connection: ws_6951169645bdc
[*] Handshake complete: ws_6951169645bdc
[<] ws_6951169645bdc: {"type":"auth","payload":{"token":"3831ee936c213e71416e4f4f8a856fde857b5f7f9609652b6197b882951034d0"}}
[>] ws_6951169645bdc: {"type":"auth_ok","payload":{"user":{"id":1,"nickname":"Valdegg"},"conversations...
[<] ws_6951169645bdc: {"type":"load_history","payload":{"conversation_id":1,"before":1766678506,"limit":50}}
[>] ws_6951169645bdc: {"type":"history","payload":{"conversation_id":1,"messages":[],"has_more":false,...
[-] Disconnected: ws_6951169645bdc
[>] ws_6951169645bdc: {"type":"user_offline","payload":{"user_id":1}}
[+] New connection: ws_6951169c010eb
[*] Handshake complete: ws_6951169c010eb
[<] ws_6951169c010eb: {"type":"auth","payload":{"token":"3831ee936c213e71416e4f4f8a856fde857b5f7f9609652b6197b882951034d0"}}
[>] ws_6951169c010eb: {"type":"auth_ok","payload":{"user":{"id":1,"nickname":"Valdegg"},"conversations...
[<] ws_6951169c010eb: {"type":"load_history","payload":{"conversation_id":1,"before":1766921884,"limit":50}}
[>] ws_6951169c010eb: {"type":"history","payload":{"conversation_id":1,"messages":[{"id":1,"conversati...
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[+] New connection: ws_6951177d2da84
[*] Handshake complete: ws_6951177d2da84
[<] ws_6951177d2da84: {"type":"auth","payload":{"token":"bf3e37526b3cb81283ca6ca7c9be2735965ea9cec415485b88b2df31c026a382"}}
[>] ws_6951177d2da84: {"type":"auth_ok","payload":{"user":{"id":7,"nickname":"T-Rex"},"conversations":...
[>] ws_6951169c010eb: {"type":"user_online","payload":{"user":{"id":7,"nickname":"T-Rex"}}}
[<] ws_6951177d2da84: {"type":"load_history","payload":{"conversation_id":1,"before":1766922109,"limit":50}}
[>] ws_6951177d2da84: {"type":"history","payload":{"conversation_id":1,"messages":[{"id":1,"conversati...
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951177d2da84: {"type":"ping","payload":{}}
[>] ws_6951177d2da84: {"type":"pong","payload":[]}
[<] ws_6951177d2da84: {"type":"send_message","payload":{"conversation_id":1,"content":"Heyrðu mobile view’ið er komið alveg í vaskinn hérna"}}
[>] ws_6951169c010eb: {"type":"message","payload":{"id":68,"conversation_id":1,"user_id":7,"content":"...
[>] ws_6951177d2da84: {"type":"message","payload":{"id":68,"conversation_id":1,"user_id":7,"content":"...
[<] ws_6951177d2da84: {"type":"ping","payload":{}}
[>] ws_6951177d2da84: {"type":"pong","payload":[]}
[<] ws_6951177d2da84: {"type":"ping","payload":{}}
[>] ws_6951177d2da84: {"type":"pong","payload":[]}
[-] Disconnected: ws_6951177d2da84
[>] ws_6951169c010eb: {"type":"user_offline","payload":{"user_id":7}}
[>] ws_6951177d2da84: {"type":"user_offline","payload":{"user_id":7}}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[<] ws_6951169c010eb: {"type":"ping","payload":{}}
[>] ws_6951169c010eb: {"type":"pong","payload":[]}
[-] Disconnected: ws_6951169c010eb
[>] ws_6951169c010eb: {"type":"user_offline","payload":{"user_id":1}}
[+] New connection: ws_69512a91bbb3c
[*] Handshake complete: ws_69512a91bbb3c
[<] ws_69512a91bbb3c: {"type":"auth","payload":{"token":"3831ee936c213e71416e4f4f8a856fde857b5f7f9609652b6197b882951034d0"}}
[>] ws_69512a91bbb3c: {"type":"auth_ok","payload":{"user":{"id":1,"nickname":"Valdegg"},"conversations...
[<] ws_69512a91bbb3c: {"type":"load_history","payload":{"conversation_id":1,"before":1766678506,"limit":50}}
[>] ws_69512a91bbb3c: {"type":"history","payload":{"conversation_id":1,"messages":[],"has_more":false,...
[<] ws_69512a91bbb3c: {"type":"ping","payload":{}}
[>] ws_69512a91bbb3c: {"type":"pong","payload":[]}
[<] ws_69512a91bbb3c: {"type":"ping","payload":{}}
[>] ws_69512a91bbb3c: {"type":"pong","payload":[]}
[<] ws_69512a91bbb3c: {"type":"ping","payload":{}}
[>] ws_69512a91bbb3c: {"type":"pong","payload":[]}
[<] ws_69512a91bbb3c: {"type":"ping","payload":{}}
[>] ws_69512a91bbb3c: {"type":"pong","payload":[]}
[<] ws_69512a91bbb3c: {"type":"ping","payload":{}}
[>] ws_69512a91bbb3c: {"type":"pong","payload":[]}
[<] ws_69512a91bbb3c: {"type":"ping","payload":{}}
[>] ws_69512a91bbb3c: {"type":"pong","payload":[]}
[<] ws_69512a91bbb3c: {"type":"ping","payload":{}}
[>] ws_69512a91bbb3c: {"type":"pong","payload":[]}
[<] ws_69512a91bbb3c: {"type":"ping","payload":{}}
[>] ws_69512a91bbb3c: {"type":"pong","payload":[]}
[<] ws_69512a91bbb3c: {"type":"ping","payload":{}}
[>] ws_69512a91bbb3c: {"type":"pong","payload":[]}
[<] ws_69512a91bbb3c: {"type":"ping","payload":{}}
[>] ws_69512a91bbb3c: {"type":"pong","payload":[]}
[+] New connection: ws_69512ceb438c3
[*] Handshake complete: ws_69512ceb438c3
[<] ws_69512ceb438c3: {"type":"auth","payload":{"token":"2173460ec8159c4a469835c8cf48dc9e4a4415510ac9a6ed7b87a1a570725172"}}
[>] ws_69512ceb438c3: {"type":"auth_ok","payload":{"user":{"id":6,"nickname":"siggi"},"conversations":...
[>] ws_69512a91bbb3c: {"type":"user_online","payload":{"user":{"id":6,"nickname":"siggi"}}}
[<] ws_69512ceb438c3: {"type":"load_history","payload":{"conversation_id":1,"before":1766927595,"limit":50}}
[>] ws_69512ceb438c3: {"type":"history","payload":{"conversation_id":1,"messages":[{"id":1,"conversati...
[-] Disconnected: ws_69512ceb438c3
[>] ws_69512a91bbb3c: {"type":"user_offline","payload":{"user_id":6}}
[>] ws_69512ceb438c3: {"type":"user_offline","payload":{"user_id":6}}
[<] ws_69512a91bbb3c: {"type":"ping","payload":{}}
[>] ws_69512a91bbb3c: {"type":"pong","payload":[]}
[<] ws_69512a91bbb3c: {"type":"ping","payload":{}}
[>] ws_69512a91bbb3c: {"type":"pong","payload":[]}
[-] Disconnected: ws_69512a91bbb3c
[>] ws_69512a91bbb3c: {"type":"user_offline","payload":{"user_id":1}}
[+] New connection: ws_69513f3329335
[*] Handshake complete: ws_69513f3329335
[<] ws_69513f3329335: {"type":"auth","payload":{"token":"3831ee936c213e71416e4f4f8a856fde857b5f7f9609652b6197b882951034d0"}}
[>] ws_69513f3329335: {"type":"auth_ok","payload":{"user":{"id":1,"nickname":"Valdegg"},"conversations...
[<] ws_69513f3329335: {"type":"load_history","payload":{"conversation_id":1,"before":1766678506,"limit":50}}
[>] ws_69513f3329335: {"type":"history","payload":{"conversation_id":1,"messages":[],"has_more":false,...
[<] ws_69513f3329335: {"type":"ping","payload":{}}
[>] ws_69513f3329335: {"type":"pong","payload":[]}
[<] ws_69513f3329335: {"type":"ping","payload":{}}
[>] ws_69513f3329335: {"type":"pong","payload":[]}
[<] ws_69513f3329335: {"type":"ping","payload":{}}
[>] ws_69513f3329335: {"type":"pong","payload":[]}
[<] ws_69513f3329335: {"type":"ping","payload":{}}
[>] ws_69513f3329335: {"type":"pong","payload":[]}
[<] ws_69513f3329335: {"type":"ping","payload":{}}
[>] ws_69513f3329335: {"type":"pong","payload":[]}
[<] ws_69513f3329335: {"type":"ping","payload":{}}
[>] ws_69513f3329335: {"type":"pong","payload":[]}
[<] ws_69513f3329335: {"type":"ping","payload":{}}
[>] ws_69513f3329335: {"type":"pong","payload":[]}
[<] ws_69513f3329335: {"type":"ping","payload":{}}
[>] ws_69513f3329335: {"type":"pong","payload":[]}
[<] ws_69513f3329335: {"type":"ping","payload":{}}
[>] ws_69513f3329335: {"type":"pong","payload":[]}
[<] ws_69513f3329335: {"type":"ping","payload":{}}
[>] ws_69513f3329335: {"type":"pong","payload":[]}
[<] ws_69513f3329335: {"type":"ping","payload":{}}
[>] ws_69513f3329335: {"type":"pong","payload":[]}
[<] ws_69513f3329335: {"type":"ping","payload":{}}
[>] ws_69513f3329335: {"type":"pong","payload":[]}
[<] ws_69513f3329335: {"type":"ping","payload":{}}
[>] ws_69513f3329335: {"type":"pong","payload":[]}
[<] ws_69513f3329335: {"type":"ping","payload":{}}
[>] ws_69513f3329335: {"type":"pong","payload":[]}
[<] ws_69513f3329335: {"type":"send_message","payload":{"conversation_id":1,"content":"já þarf að vibe codea síma app bara"}}
[>] ws_69513f3329335: {"type":"message","payload":{"id":69,"conversation_id":1,"user_id":1,"content":"...
[<] ws_69513f3329335: {"type":"ping","payload":{}}
[>] ws_69513f3329335: {"type":"pong","payload":[]}
[<] ws_69513f3329335: {"type":"ping","payload":{}}
[>] ws_69513f3329335: {"type":"pong","payload":[]}
[<] ws_69513f3329335: {"type":"ping","payload":{}}
[>] ws_69513f3329335: {"type":"pong","payload":[]}
[<] ws_69513f3329335: {"type":"ping","payload":{}}
[>] ws_69513f3329335: {"type":"pong","payload":[]}
[<] ws_69513f3329335: {"type":"ping","payload":{}}
[>] ws_69513f3329335: {"type":"pong","payload":[]}
[<] ws_69513f3329335: {"type":"ping","payload":{}}
[>] ws_69513f3329335: {"type":"pong","payload":[]}
[<] ws_69513f3329335: {"type":"ping","payload":{}}
[>] ws_69513f3329335: {"type":"pong","payload":[]}
[<] ws_69513f3329335: {"type":"ping","payload":{}}
[>] ws_69513f3329335: {"type":"pong","payload":[]}
[<] ws_69513f3329335: {"type":"ping","payload":{}}
[>] ws_69513f3329335: {"type":"pong","payload":[]}
[<] ws_69513f3329335: {"type":"ping","payload":{}}
[>] ws_69513f3329335: {"type":"pong","payload":[]}
[+] New connection: ws_695144fc08b77
[*] Handshake complete: ws_695144fc08b77
[<] ws_695144fc08b77: {"type":"auth","payload":{"token":"3831ee936c213e71416e4f4f8a856fde857b5f7f9609652b6197b882951034d0"}}
[>] ws_695144fc08b77: {"type":"auth_ok","payload":{"user":{"id":1,"nickname":"Valdegg"},"conversations...
[<] ws_695144fc08b77: {"type":"load_history","payload":{"conversation_id":1,"before":1766678506,"limit":50}}
[>] ws_695144fc08b77: {"type":"history","payload":{"conversation_id":1,"messages":[],"has_more":false,...
[-] Disconnected: ws_69513f3329335
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[+] New connection: ws_69514e1f35fd1
[*] Handshake complete: ws_69514e1f35fd1
[<] ws_69514e1f35fd1: {"type":"auth","payload":{"token":"bf3e37526b3cb81283ca6ca7c9be2735965ea9cec415485b88b2df31c026a382"}}
[>] ws_69514e1f35fd1: {"type":"auth_ok","payload":{"user":{"id":7,"nickname":"T-Rex"},"conversations":...
[>] ws_695144fc08b77: {"type":"user_online","payload":{"user":{"id":7,"nickname":"T-Rex"}}}
[<] ws_69514e1f35fd1: {"type":"load_history","payload":{"conversation_id":1,"before":1766936095,"limit":50}}
[>] ws_69514e1f35fd1: {"type":"history","payload":{"conversation_id":1,"messages":[{"id":1,"conversati...
[<] ws_69514e1f35fd1: {"type":"send_message","payload":{"conversation_id":1,"content":"Nei nei bara @media css tags"}}
[>] ws_695144fc08b77: {"type":"message","payload":{"id":70,"conversation_id":1,"user_id":7,"content":"...
[>] ws_69514e1f35fd1: {"type":"message","payload":{"id":70,"conversation_id":1,"user_id":7,"content":"...
[<] ws_69514e1f35fd1: {"type":"ping","payload":{}}
[>] ws_69514e1f35fd1: {"type":"pong","payload":[]}
[-] Disconnected: ws_69514e1f35fd1
[>] ws_695144fc08b77: {"type":"user_offline","payload":{"user_id":7}}
[>] ws_69514e1f35fd1: {"type":"user_offline","payload":{"user_id":7}}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
[<] ws_695144fc08b77: {"type":"ping","payload":{}}
[>] ws_695144fc08b77: {"type":"pong","payload":[]}
